Team,League,Year,G,W,L,Playoffs,RankSeason,RankPlayoffs,RS,RA,BA,OBP,SLG,OPS,OOBP,OSLG
TOR,AL,2004,161,67,94,FALSE,,,719,823,0.26,0.328,0.403,0.731,0.348,0.434
ANA,AL,2003,162,77,85,FALSE,,,736,743,0.268,0.33,0.413,0.743,0.327,0.421
ARI,NL,2003,162,84,78,FALSE,,,717,685,0.263,0.33,0.417,0.747,0.322,0.388
ATL,NL,2003,162,101,61,TRUE,1,4,907,740,0.284,0.349,0.475,0.824,0.327,0.401
BAL,AL,2003,163,71,92,FALSE,,,743,820,0.268,0.323,0.405,0.728,0.346,0.446
BOS,AL,2003,162,95,67,TRUE,4,3,961,809,0.289,0.36,0.491,0.851,0.327,0.415
CHC,NL,2003,162,88,74,TRUE,7,3,724,683,0.259,0.323,0.416,0.739,0.324,0.372
CHW,AL,2003,162,86,76,FALSE,,,791,715,0.263,0.331,0.446,0.777,0.322,0.404
CIN,NL,2003,162,69,93,FALSE,,,694,886,0.245,0.318,0.395,0.713,0.349,0.463
CLE,AL,2003,162,68,94,FALSE,,,699,778,0.254,0.316,0.401,0.717,0.329,0.426
COL,NL,2003,162,74,88,FALSE,,,853,892,0.267,0.344,0.445,0.789,0.359,0.47
DET,AL,2003,162,43,119,FALSE,,,591,928,0.24,0.3,0.375,0.675,0.352,0.461
FLA,NL,2003,162,91,71,TRUE,5,1,751,692,0.266,0.333,0.421,0.754,0.325,0.396
HOU,NL,2003,162,87,75,FALSE,,,805,677,0.263,0.336,0.431,0.767,0.326,0.397
KCR,AL,2003,162,83,79,FALSE,,,836,867,0.274,0.336,0.427,0.763,0.348,0.45
LAD,NL,2003,162,85,77,FALSE,,,574,556,0.243,0.303,0.368,0.671,0.306,0.354
MIL,NL,2003,162,68,94,FALSE,,,714,873,0.256,0.329,0.419,0.748,0.348,0.462
MIN,AL,2003,162,90,72,TRUE,6,4,801,758,0.277,0.341,0.431,0.772,0.319,0.428
MON,NL,2003,162,83,79,FALSE,,,711,716,0.258,0.326,0.401,0.727,0.327,0.423
NYM,NL,2003,161,66,95,FALSE,,,642,754,0.247,0.314,0.374,0.688,0.345,0.438
NYY,AL,2003,163,101,62,TRUE,1,2,877,716,0.271,0.356,0.453,0.809,0.314,0.407
OAK,AL,2003,162,96,66,TRUE,3,4,768,643,0.254,0.327,0.417,0.744,0.314,0.376
PHI,NL,2003,162,86,76,FALSE,,,791,697,0.261,0.343,0.419,0.762,0.327,0.401
PIT,NL,2003,162,75,87,FALSE,,,753,801,0.267,0.338,0.42,0.758,0.336,0.431
SDP,NL,2003,162,64,98,FALSE,,,678,831,0.261,0.333,0.388,0.721,0.341,0.437
SEA,AL,2003,162,93,69,FALSE,,,795,637,0.271,0.344,0.41,0.754,0.311,0.388
SFG,NL,2003,161,100,61,TRUE,2,4,755,638,0.264,0.338,0.425,0.763,0.321,0.386
STL,NL,2003,162,85,77,FALSE,,,876,796,0.279,0.35,0.454,0.804,0.336,0.452
TBD,AL,2003,162,63,99,FALSE,,,715,852,0.265,0.32,0.404,0.724,0.347,0.44
TEX,AL,2003,162,71,91,FALSE,,,826,969,0.266,0.33,0.454,0.784,0.36,0.473
TOR,AL,2003,162,86,76,FALSE,,,894,826,0.279,0.349,0.455,0.804,0.337,0.441
ANA,AL,2002,162,99,63,TRUE,3,1,851,644,0.282,0.341,0.433,0.774,0.314,0.392
ARI,NL,2002,162,98,64,TRUE,4,4,819,674,0.267,0.346,0.423,0.769,0.305,0.397
ATL,NL,2002,161,101,60,TRUE,2,4,708,565,0.26,0.331,0.409,0.74,0.313,0.364
BAL,AL,2002,162,67,95,FALSE,,,667,773,0.246,0.309,0.403,0.712,0.336,0.435
BOS,AL,2002,162,93,69,FALSE,,,859,665,0.277,0.345,0.444,0.789,0.308,0.385
CHC,NL,2002,162,67,95,FALSE,,,706,759,0.246,0.321,0.413,0.734,0.331,0.407
CHW,AL,2002,162,81,81,FALSE,,,856,798,0.268,0.338,0.449,0.787,0.33,0.423
CIN,NL,2002,162,78,84,FALSE,,,709,774,0.253,0.33,0.408,0.738,0.338,0.426
CLE,AL,2002,162,74,88,FALSE,,,739,837,0.249,0.321,0.412,0.733,0.348,0.423
COL,NL,2002,162,73,89,FALSE,,,778,898,0.274,0.337,0.423,0.76,0.349,0.466
DET,AL,2002,161,55,106,FALSE,,,575,864,0.248,0.3,0.379,0.679,0.343,0.455
FLA,NL,2002,162,79,83,FALSE,,,699,763,0.261,0.337,0.403,0.74,0.341,0.415
HOU,NL,2002,162,84,78,FALSE,,,749,695,0.262,0.338,0.417,0.755,0.33,0.41
KCR,AL,2002,162,62,100,FALSE,,,737,891,0.256,0.323,0.398,0.721,0.349,0.464
LAD,NL,2002,162,92,70,FALSE,,,713,643,0.264,0.32,0.409,0.729,0.315,0.387
MIL,NL,2002,162,56,106,FALSE,,,627,821,0.253,0.32,0.39,0.71,0.352,0.442
MIN,AL,2002,161,94,67,TRUE,7,3,768,712,0.272,0.332,0.437,0.769,0.318,0.421
MON,NL,2002,162,83,79,FALSE,,,735,718,0.261,0.334,0.418,0.752,0.329,0.421
NYM,NL,2002,161,75,86,FALSE,,,690,703,0.256,0.322,0.395,0.717,0.327,0.403
NYY,AL,2002,161,103,58,TRUE,1,4,897,697,0.275,0.354,0.455,0.809,0.309,0.395
OAK,AL,2002,162,103,59,TRUE,1,4,800,654,0.261,0.339,0.432,0.771,0.315,0.384
PHI,NL,2002,161,80,81,FALSE,,,710,724,0.259,0.339,0.422,0.761,0.328,0.401
PIT,NL,2002,161,72,89,FALSE,,,641,730,0.244,0.319,0.381,0.7,0.342,0.423
SDP,NL,2002,162,66,96,FALSE,,,662,815,0.253,0.321,0.381,0.702,0.346,0.442
SEA,AL,2002,162,93,69,FALSE,,,814,699,0.275,0.35,0.419,0.769,0.315,0.41
SFG,NL,2002,162,95,67,TRUE,6,2,783,616,0.267,0.344,0.442,0.786,0.319,0.372
STL,NL,2002,162,97,65,TRUE,5,3,787,648,0.268,0.338,0.425,0.763,0.323,0.386
TBD,AL,2002,161,55,106,FALSE,,,673,918,0.253,0.314,0.39,0.704,0.357,0.463
TEX,AL,2002,162,72,90,FALSE,,,843,882,0.269,0.338,0.455,0.793,0.355,0.451
TOR,AL,2002,162,78,84,FALSE,,,813,828,0.261,0.327,0.43,0.757,0.344,0.431
ANA,AL,2001,162,75,87,FALSE,,,691,730,0.261,0.327,0.405,0.732,0.331,0.412
ARI,NL,2001,162,92,70,TRUE,5,1,818,677,0.267,0.341,0.442,0.783,0.311,0.404
ATL,NL,2001,162,88,74,TRUE,7,3,729,643,0.26,0.324,0.412,0.736,0.314,0.384
BAL,AL,2001,162,63,99,FALSE,,,687,829,0.248,0.319,0.38,0.699,0.337,0.439
BOS,AL,2001,161,82,79,FALSE,,,772,745,0.266,0.334,0.439,0.773,0.329,0.393
CHC,NL,2001,162,88,74,FALSE,,,777,701,0.261,0.336,0.43,0.766,0.321,0.398
CHW,AL,2001,162,83,79,FALSE,,,798,795,0.268,0.334,0.451,0.785,0.334,0.427
CIN,NL,2001,162,66,96,FALSE,,,735,850,0.262,0.324,0.419,0.743,0.341,0.455
CLE,AL,2001,162,91,71,TRUE,6,4,897,821,0.278,0.35,0.458,0.808,0.341,0.417
COL,NL,2001,162,73,89,FALSE,,,923,906,0.292,0.354,0.483,0.837,0.35,0.48
DET,AL,2001,162,66,96,FALSE,,,724,876,0.26,0.32,0.409,0.729,0.357,0.461
FLA,NL,2001,162,76,86,FALSE,,,742,744,0.264,0.326,0.423,0.749,0.338,0.411
HOU,NL,2001,162,93,69,TRUE,4,4,847,769,0.271,0.347,0.451,0.798,0.325,0.437
KCR,AL,2001,162,65,97,FALSE,,,729,858,0.266,0.318,0.409,0.727,0.348,0.45
LAD,NL,2001,162,86,76,FALSE,,,758,744,0.255,0.323,0.425,0.748,0.323,0.411
MIL,NL,2001,162,68,94,FALSE,,,740,806,0.251,0.319,0.426,0.745,0.35,0.44
MIN,AL,2001,162,85,77,FALSE,,,771,766,0.272,0.337,0.433,0.77,0.325,0.437
MON,NL,2001,162,68,94,FALSE,,,670,812,0.253,0.319,0.396,0.715,0.339,0.441
NYM,NL,2001,162,82,80,FALSE,,,642,713,0.249,0.323,0.387,0.71,0.314,0.419
NYY,AL,2001,161,95,66,TRUE,3,2,804,713,0.267,0.334,0.435,0.769,0.318,0.398
OAK,AL,2001,162,102,60,TRUE,2,4,884,645,0.264,0.345,0.439,0.784,0.308,0.38
PHI,NL,2001,162,86,76,FALSE,,,746,719,0.26,0.329,0.414,0.743,0.329,0.424
PIT,NL,2001,162,62,100,FALSE,,,657,858,0.247,0.313,0.393,0.706,0.344,0.433
SDP,NL,2001,162,79,83,FALSE,,,789,812,0.252,0.336,0.399,0.735,0.33,0.45
SEA,AL,2001,162,116,46,TRUE,1,3,927,627,0.288,0.36,0.445,0.805,0.301,0.378
SFG,NL,2001,162,90,72,FALSE,,,799,748,0.266,0.342,0.46,0.802,0.329,0.404
STL,NL,2001,162,93,69,TRUE,4,4,814,684,0.27,0.339,0.441,0.78,0.328,0.428
TBD,AL,2001,162,62,100,FALSE,,,672,887,0.258,0.32,0.388,0.708,0.345,0.452
TEX,AL,2001,162,73,89,FALSE,,,890,968,0.275,0.344,0.471,0.815,0.362,0.494
TOR,AL,2001,162,80,82,FALSE,,,767,753,0.263,0.325,0.43,0.755,0.339,0.435
ANA,AL,2000,162,82,80,FALSE,,,864,869,0.28,0.352,0.472,0.824,0.351,0.453
ARI,NL,2000,162,85,77,FALSE,,,792,754,0.265,0.333,0.429,0.762,0.326,0.424
ATL,NL,2000,162,95,67,TRUE,2,4,810,714,0.271,0.346,0.429,0.775,0.319,0.402
BAL,AL,2000,162,74,88,FALSE,,,794,913,0.272,0.341,0.435,0.776,0.352,0.449
BOS,AL,2000,162,85,77,FALSE,,,792,745,0.267,0.341,0.423,0.764,0.322,0.411
CHC,NL,2000,162,65,97,FALSE,,,764,904,0.256,0.335,0.411,0.746,0.348,0.452
CHW,AL,2000,162,95,67,TRUE,2,4,978,839,0.286,0.356,0.47,0.826,0.346,0.434
CIN,NL,2000,163,85,78,FALSE,,,825,765,0.274,0.343,0.447,0.79,0.341,0.438
CLE,AL,2000,162,90,72,FALSE,,,950,816,0.288,0.367,0.47,0.837,0.35,0.425
COL,NL,2000,162,82,80,FALSE,,,968,897,0.294,0.362,0.455,0.817,0.354,0.471
DET,AL,2000,162,79,83,FALSE,,,823,827,0.275,0.343,0.438,0.781,0.34,0.443
FLA,NL,2000,161,79,82,FALSE,,,731,797,0.262,0.331,0.409,0.74,0.348,0.429
HOU,NL,2000,162,72,90,FALSE,,,938,944,0.278,0.361,0.477,0.838,0.353,0.476
KCR,AL,2000,162,77,85,FALSE,,,879,930,0.288,0.348,0.425,0.773,0.362,0.474
LAD,NL,2000,162,86,76,FALSE,,,798,729,0.257,0.341,0.431,0.772,0.332,0.407
MIL,NL,2000,163,73,90,FALSE,,,740,826,0.246,0.325,0.403,0.728,0.357,0.42
MIN,AL,2000,162,69,93,FALSE,,,748,880,0.27,0.337,0.407,0.744,0.347,0.466
MON,NL,2000,162,67,95,FALSE,,,738,902,0.266,0.326,0.432,0.758,0.353,0.449
NYM,NL,2000,162,94,68,TRUE,3,2,807,738,0.263,0.346,0.43,0.776,0.327,0.403
NYY,AL,2000,161,87,74,TRUE,5,1,871,814,0.277,0.354,0.45,0.804,0.336,0.422
OAK,AL,2000,161,91,70,TRUE,4,4,947,813,0.27,0.36,0.458,0.818,0.348,0.423
PHI,NL,2000,162,65,97,FALSE,,,708,830,0.251,0.329,0.4,0.729,0.343,0.448
PIT,NL,2000,162,69,93,FALSE,,,793,888,0.267,0.339,0.424,0.763,0.361,0.432
SDP,NL,2000,162,76,86,FALSE,,,752,815,0.254,0.33,0.402,0.732,0.34,0.416
SEA,AL,2000,162,91,71,TRUE,4,3,907,780,0.269,0.361,0.442,0.803,0.339,0.416
SFG,NL,2000,162,97,65,TRUE,1,4,925,747,0.278,0.362,0.472,0.834,0.342,0.412
STL,NL,2000,162,95,67,TRUE,2,3,887,771,0.27,0.356,0.455,0.811,0.338,0.434
TBD,AL,2000,161,69,92,FALSE,,,733,842,0.257,0.329,0.399,0.728,0.345,0.451
TEX,AL,2000,162,71,91,FALSE,,,848,974,0.283,0.352,0.446,0.798,0.369,0.475
TOR,AL,2000,162,83,79,FALSE,,,861,908,0.275,0.341,0.469,0.81,0.354,0.456
ANA,AL,1999,162,70,92,FALSE,,,711,826,0.256,0.322,0.395,0.717,0.346,0.427
ARI,NL,1999,162,100,62,TRUE,2,4,908,676,0.277,0.347,0.459,0.806,0.32,0.402
ATL,NL,1999,162,103,59,TRUE,1,2,840,661,0.266,0.341,0.436,0.777,0.314,0.377
BAL,AL,1999,162,78,84,FALSE,,,851,815,0.279,0.353,0.447,0.8,0.35,0.441
BOS,AL,1999,162,94,68,TRUE,6,3,836,718,0.278,0.35,0.448,0.798,0.315,0.398
CHC,NL,1999,162,67,95,FALSE,,,747,920,0.257,0.329,0.42,0.749,0.346,0.467
CHW,AL,1999,162,75,87,FALSE,,,777,870,0.277,0.337,0.429,0.766,0.353,0.447
CIN,NL,1999,163,96,67,FALSE,,,865,711,0.272,0.341,0.451,0.792,0.324,0.411
CLE,AL,1999,162,97,65,TRUE,4,4,1009,860,0.289,0.373,0.467,0.84,0.347,0.439
COL,NL,1999,162,72,90,FALSE,,,906,1028,0.288,0.348,0.472,0.82,0.384,0.499
DET,AL,1999,161,69,92,FALSE,,,747,882,0.261,0.326,0.443,0.769,0.349,0.451
FLA,NL,1999,162,64,98,FALSE,,,691,852,0.263,0.325,0.395,0.72,0.359,0.44
HOU,NL,1999,162,97,65,TRUE,4,4,823,675,0.267,0.355,0.42,0.775,0.326,0.397
KCR,AL,1999,161,64,97,FALSE,,,856,921,0.282,0.348,0.433,0.781,0.365,0.454
LAD,NL,1999,162,77,85,FALSE,,,793,787,0.266,0.339,0.42,0.759,0.336,0.422
MIL,NL,1999,161,74,87,FALSE,,,815,886,0.273,0.353,0.426,0.779,0.356,0.457
MIN,AL,1999,161,63,98,FALSE,,,686,845,0.264,0.328,0.384,0.712,0.342,0.465
MON,NL,1999,162,68,94,FALSE,,,718,853,0.265,0.323,0.427,0.75,0.342,0.418
NYM,NL,1999,163,97,66,TRUE,4,3,853,711,0.279,0.363,0.434,0.797,0.331,0.418
NYY,AL,1999,162,98,64,TRUE,3,1,900,731,0.282,0.366,0.453,0.819,0.329,0.4
OAK,AL,1999,162,87,75,FALSE,,,893,846,0.259,0.355,0.446,0.801,0.344,0.428
PHI,NL,1999,162,77,85,FALSE,,,841,846,0.275,0.351,0.431,0.782,0.347,0.447
PIT,NL,1999,161,78,83,FALSE,,,775,782,0.259,0.334,0.419,0.753,0.343,0.42
SDP,NL,1999,162,74,88,FALSE,,,710,781,0.252,0.332,0.393,0.725,0.333,0.43
SEA,AL,1999,162,79,83,FALSE,,,859,905,0.269,0.343,0.455,0.798,0.368,0.454
SFG,NL,1999,162,86,76,FALSE,,,872,831,0.271,0.356,0.434,0.79,0.345,0.423
STL,NL,1999,161,75,86,FALSE,,,809,838,0.262,0.338,0.426,0.764,0.355,0.427
TBD,AL,1999,162,69,93,FALSE,,,772,913,0.274,0.343,0.411,0.754,0.371,0.448
TEX,AL,1999,162,95,67,TRUE,5,4,945,859,0.293,0.361,0.479,0.84,0.346,0.459
TOR,AL,1999,162,84,78,FALSE,,,883,862,0.28,0.352,0.457,0.809,0.353,0.456
ANA,AL,1998,162,85,77,FALSE,,,787,783,0.272,0.335,0.415,0.75,,
ARI,NL,1998,162,65,97,FALSE,,,665,812,0.246,0.314,0.393,0.707,,
ATL,NL,1998,162,106,56,TRUE,2,3,826,581,0.272,0.342,0.453,0.795,,
BAL,AL,1998,162,79,83,FALSE,,,817,785,0.273,0.347,0.447,0.794,,
BOS,AL,1998,162,92,70,TRUE,5,4,876,729,0.28,0.348,0.463,0.811,,
CHC,NL,1998,163,90,73,TRUE,6,4,831,792,0.264,0.337,0.433,0.77,,
CHW,AL,1998,163,80,83,FALSE,,,861,931,0.271,0.339,0.444,0.783,,
CIN,NL,1998,162,77,85,FALSE,,,750,760,0.262,0.337,0.402,0.739,,
CLE,AL,1998,162,89,73,TRUE,7,3,850,779,0.272,0.347,0.448,0.795,,
COL,NL,1998,162,77,85,FALSE,,,826,855,0.291,0.347,0.461,0.808,,
DET,AL,1998,162,65,97,FALSE,,,722,863,0.264,0.323,0.415,0.738,,
FLA,NL,1998,162,54,108,FALSE,,,667,923,0.248,0.317,0.373,0.69,,
HOU,NL,1998,162,102,60,TRUE,3,4,874,620,0.28,0.356,0.436,0.792,,
KCR,AL,1998,161,72,89,FALSE,,,714,899,0.263,0.324,0.399,0.723,,
LAD,NL,1998,162,83,79,FALSE,,,669,678,0.252,0.31,0.387,0.697,,
MIL,NL,1998,162,74,88,FALSE,,,707,812,0.26,0.33,0.396,0.726,,
MIN,AL,1998,162,70,92,FALSE,,,734,818,0.266,0.328,0.389,0.717,,
MON,NL,1998,162,65,97,FALSE,,,644,783,0.249,0.31,0.394,0.704,,
NYM,NL,1998,162,88,74,FALSE,,,706,645,0.259,0.33,0.394,0.724,,
NYY,AL,1998,162,114,48,TRUE,1,1,965,656,0.288,0.364,0.46,0.824,,
OAK,AL,1998,162,74,88,FALSE,,,804,866,0.257,0.338,0.397,0.735,,
PHI,NL,1998,162,75,87,FALSE,,,713,808,0.264,0.326,0.395,0.721,,
PIT,NL,1998,163,69,94,FALSE,,,650,718,0.254,0.311,0.374,0.685,,
SDP,NL,1998,162,98,64,TRUE,4,2,749,635,0.253,0.33,0.409,0.739,,
SEA,AL,1998,161,76,85,FALSE,,,859,855,0.276,0.345,0.468,0.813,,
SFG,NL,1998,163,89,74,FALSE,,,845,739,0.274,0.353,0.421,0.774,,
STL,NL,1998,163,83,80,FALSE,,,810,782,0.258,0.341,0.441,0.782,,
TBD,AL,1998,162,63,99,FALSE,,,620,751,0.261,0.321,0.385,0.706,,
TEX,AL,1998,162,88,74,TRUE,8,4,940,871,0.289,0.357,0.462,0.819,,
TOR,AL,1998,163,88,75,FALSE,,,816,768,0.266,0.34,0.448,0.788,,
ANA,AL,1997,162,84,78,FALSE,,,829,794,0.272,0.346,0.416,0.762,,
ATL,NL,1997,162,101,61,TRUE,1,3,791,581,0.27,0.343,0.426,0.769,,
BAL,AL,1997,162,98,64,TRUE,2,3,812,681,0.268,0.341,0.429,0.77,,
BOS,AL,1997,162,78,84,FALSE,,,851,857,0.291,0.352,0.463,0.815,,
CHC,NL,1997,162,68,94,FALSE,,,687,759,0.263,0.321,0.396,0.717,,
CHW,AL,1997,161,80,81,FALSE,,,779,833,0.273,0.341,0.417,0.758,,
CIN,NL,1997,162,76,86,FALSE,,,651,764,0.253,0.321,0.389,0.71,,
CLE,AL,1997,161,86,75,TRUE,6,2,868,815,0.286,0.358,0.467,0.825,,
COL,NL,1997,162,83,79,FALSE,,,923,908,0.288,0.357,0.478,0.835,,
DET,AL,1997,162,79,83,FALSE,,,784,790,0.258,0.332,0.415,0.747,,
FLA,NL,1997,162,92,70,TRUE,4,1,740,669,0.259,0.346,0.395,0.741,,
HOU,NL,1997,162,84,78,TRUE,7,4,777,660,0.259,0.344,0.403,0.747,,
KCR,AL,1997,161,67,94,FALSE,,,747,820,0.264,0.333,0.407,0.74,,
LAD,NL,1997,162,88,74,FALSE,,,742,645,0.268,0.33,0.418,0.748,,
MIL,AL,1997,161,78,83,FALSE,,,681,742,0.26,0.325,0.398,0.723,,
MIN,AL,1997,162,68,94,FALSE,,,772,861,0.27,0.333,0.409,0.742,,
MON,NL,1997,162,78,84,FALSE,,,691,740,0.258,0.316,0.425,0.741,,
NYM,NL,1997,162,88,74,FALSE,,,777,709,0.262,0.332,0.405,0.737,,
NYY,AL,1997,162,96,66,TRUE,3,4,891,688,0.287,0.362,0.436,0.798,,
OAK,AL,1997,162,65,97,FALSE,,,764,946,0.26,0.339,0.423,0.762,,
PHI,NL,1997,162,68,94,FALSE,,,668,840,0.255,0.322,0.385,0.707,,
PIT,NL,1997,162,79,83,FALSE,,,725,760,0.262,0.329,0.404,0.733,,
SDP,NL,1997,162,76,86,FALSE,,,795,891,0.271,0.342,0.407,0.749,,
SEA,AL,1997,162,90,72,TRUE,5,4,925,833,0.28,0.355,0.485,0.84,,
SFG,NL,1997,162,90,72,TRUE,5,4,784,793,0.258,0.337,0.414,0.751,,
STL,NL,1997,162,73,89,FALSE,,,689,708,0.255,0.324,0.396,0.72,,
TEX,AL,1997,162,77,85,FALSE,,,807,823,0.274,0.334,0.438,0.772,,
TOR,AL,1997,162,76,86,FALSE,,,654,694,0.244,0.31,0.389,0.699,,
ATL,NL,1996,162,96,66,TRUE,2,2,773,648,0.27,0.333,0.432,0.765,,
BAL,AL,1996,163,88,75,TRUE,6,3,949,903,0.274,0.35,0.472,0.822,,
BOS,AL,1996,162,85,77,FALSE,,,928,921,0.283,0.359,0.457,0.816,,
CAL,AL,1996,161,70,91,FALSE,,,762,943,0.276,0.339,0.431,0.77,,
CHC,NL,1996,162,76,86,FALSE,,,772,771,0.251,0.32,0.401,0.721,,
CHW,AL,1996,162,85,77,FALSE,,,898,794,0.281,0.36,0.447,0.807,,
CIN,NL,1996,162,81,81,FALSE,,,778,773,0.256,0.331,0.422,0.753,,
CLE,AL,1996,161,99,62,TRUE,1,4,952,769,0.293,0.369,0.475,0.844,,
COL,NL,1996,162,83,79,FALSE,,,961,964,0.287,0.355,0.472,0.827,,
DET,AL,1996,162,53,109,FALSE,,,783,1103,0.256,0.323,0.42,0.743,,
FLA,NL,1996,162,80,82,FALSE,,,688,703,0.257,0.329,0.393,0.722,,
HOU,NL,1996,162,82,80,FALSE,,,753,792,0.262,0.336,0.397,0.733,,
KCR,AL,1996,161,75,86,FALSE,,,746,786,0.267,0.332,0.398,0.73,,
LAD,NL,1996,162,90,72,TRUE,5,4,703,652,0.252,0.316,0.384,0.7,,
MIL,AL,1996,162,80,82,FALSE,,,894,899,0.279,0.353,0.441,0.794,,
MIN,AL,1996,162,78,84,FALSE,,,877,900,0.288,0.357,0.425,0.782,,
MON,NL,1996,162,88,74,FALSE,,,741,668,0.262,0.327,0.406,0.733,,
NYM,NL,1996,162,71,91,FALSE,,,746,779,0.27,0.324,0.412,0.736,,
NYY,AL,1996,162,92,70,TRUE,3,1,871,787,0.288,0.36,0.436,0.796,,
OAK,AL,1996,162,78,84,FALSE,,,861,900,0.265,0.344,0.452,0.796,,
PHI,NL,1996,162,67,95,FALSE,,,650,790,0.256,0.325,0.387,0.712,,
PIT,NL,1996,162,73,89,FALSE,,,776,833,0.266,0.329,0.407,0.736,,
SDP,NL,1996,162,91,71,TRUE,4,4,771,682,0.265,0.338,0.402,0.74,,
SEA,AL,1996,161,85,76,FALSE,,,993,895,0.287,0.366,0.484,0.85,,
SFG,NL,1996,162,68,94,FALSE,,,752,862,0.253,0.331,0.388,0.719,,
STL,NL,1996,162,88,74,TRUE,6,3,759,706,0.267,0.33,0.407,0.737,,
TEX,AL,1996,163,90,73,TRUE,5,4,928,799,0.284,0.358,0.469,0.827,,
TOR,AL,1996,162,74,88,FALSE,,,766,809,0.259,0.331,0.42,0.751,,
ATL,NL,1993,162,104,58,TRUE,1,3,767,559,0.262,0.331,0.408,0.739,,
BAL,AL,1993,162,85,77,FALSE,,,786,745,0.267,0.346,0.413,0.759,,
BOS,AL,1993,162,80,82,FALSE,,,686,698,0.264,0.33,0.395,0.725,,
CAL,AL,1993,162,71,91,FALSE,,,684,770,0.26,0.331,0.38,0.711,,
CHC,NL,1993,163,84,79,FALSE,,,738,739,0.27,0.325,0.414,0.739,,
CHW,AL,1993,162,94,68,TRUE,4,3,776,664,0.265,0.338,0.411,0.749,,
CIN,NL,1993,162,73,89,FALSE,,,722,785,0.264,0.324,0.396,0.72,,
CLE,AL,1993,162,76,86,FALSE,,,790,813,0.275,0.335,0.409,0.744,,
COL,NL,1993,162,67,95,FALSE,,,758,967,0.273,0.323,0.422,0.745,,
DET,AL,1993,162,85,77,FALSE,,,899,837,0.275,0.362,0.434,0.796,,
FLA,NL,1993,162,64,98,FALSE,,,581,724,0.248,0.314,0.346,0.66,,
HOU,NL,1993,162,85,77,FALSE,,,716,630,0.267,0.33,0.409,0.739,,
KCR,AL,1993,162,84,78,FALSE,,,675,694,0.263,0.32,0.397,0.717,,
LAD,NL,1993,162,81,81,FALSE,,,675,662,0.261,0.321,0.383,0.704,,
MIL,AL,1993,162,69,93,FALSE,,,733,792,0.258,0.328,0.378,0.706,,
MIN,AL,1993,162,71,91,FALSE,,,693,830,0.264,0.327,0.385,0.712,,
MON,NL,1993,163,94,69,FALSE,,,732,682,0.257,0.326,0.386,0.712,,
NYM,NL,1993,162,59,103,FALSE,,,672,744,0.248,0.305,0.39,0.695,,
NYY,AL,1993,162,88,74,FALSE,,,821,761,0.279,0.353,0.435,0.788,,
OAK,AL,1993,162,68,94,FALSE,,,715,846,0.254,0.33,0.394,0.724,,
PHI,NL,1993,162,97,65,TRUE,2,2,877,740,0.274,0.351,0.426,0.777,,
PIT,NL,1993,162,75,87,FALSE,,,707,806,0.267,0.335,0.393,0.728,,
SDP,NL,1993,162,61,101,FALSE,,,679,772,0.252,0.312,0.389,0.701,,
SEA,AL,1993,162,82,80,FALSE,,,734,731,0.26,0.339,0.406,0.745,,
SFG,NL,1993,162,103,59,FALSE,,,808,636,0.276,0.34,0.427,0.767,,
STL,NL,1993,162,87,75,FALSE,,,758,744,0.272,0.341,0.395,0.736,,
TEX,AL,1993,162,86,76,FALSE,,,835,751,0.267,0.329,0.431,0.76,,
TOR,AL,1993,162,95,67,TRUE,3,1,847,742,0.279,0.35,0.436,0.786,,
ATL,NL,1992,162,98,64,TRUE,1,2,682,569,0.254,0.316,0.388,0.704,,
BAL,AL,1992,162,89,73,FALSE,,,705,656,0.259,0.34,0.398,0.738,,
BOS,AL,1992,162,73,89,FALSE,,,599,669,0.246,0.321,0.347,0.668,,
CAL,AL,1992,162,72,90,FALSE,,,579,671,0.243,0.301,0.338,0.639,,
CHC,NL,1992,162,78,84,FALSE,,,593,624,0.254,0.307,0.364,0.671,,
CHW,AL,1992,162,86,76,FALSE,,,738,690,0.261,0.336,0.383,0.719,,
CIN,NL,1992,162,90,72,FALSE,,,660,609,0.26,0.328,0.382,0.71,,
CLE,AL,1992,162,76,86,FALSE,,,674,746,0.266,0.323,0.383,0.706,,
DET,AL,1992,162,75,87,FALSE,,,791,794,0.256,0.337,0.407,0.744,,
HOU,NL,1992,162,81,81,FALSE,,,608,668,0.246,0.313,0.359,0.672,,
KCR,AL,1992,162,72,90,FALSE,,,610,667,0.256,0.315,0.364,0.679,,
LAD,NL,1992,162,63,99,FALSE,,,548,636,0.248,0.313,0.339,0.652,,
MIL,AL,1992,162,92,70,FALSE,,,740,604,0.268,0.33,0.375,0.705,,
MIN,AL,1992,162,90,72,FALSE,,,747,653,0.277,0.341,0.391,0.732,,
MON,NL,1992,162,87,75,FALSE,,,648,581,0.252,0.313,0.37,0.683,,
NYM,NL,1992,162,72,90,FALSE,,,599,653,0.235,0.31,0.342,0.652,,
NYY,AL,1992,162,76,86,FALSE,,,733,746,0.261,0.328,0.406,0.734,,
OAK,AL,1992,162,96,66,TRUE,2,3,745,672,0.258,0.346,0.386,0.732,,
PHI,NL,1992,162,70,92,FALSE,,,686,717,0.253,0.32,0.377,0.697,,
PIT,NL,1992,162,96,66,TRUE,2,3,693,595,0.255,0.324,0.381,0.705,,
SDP,NL,1992,162,82,80,FALSE,,,617,636,0.255,0.313,0.386,0.699,,
SEA,AL,1992,162,64,98,FALSE,,,679,799,0.263,0.323,0.402,0.725,,
